fecha,vendedor,producto,cantidad,precio_unitario
2025-07-15,Ana,bicicleta,2,350.0
2025-07-14,Carlos,casco,3,85.0
2025-07-14,María,guantes,5,25.0
2025-07-13,Ana,bicicleta,1,350.0
2025-07-13,Pedro,skateboard,2,180.0
2025-07-13,Sofía,casco,1,85.0
2025-07-12,Marcos,patineta,3,120.0
2025-07-12,Lucía,monopatin,2,220.0
2025-07-11,María,bicicleta,1,350.0
2025-07-11,Ana,guantes,4,25.0
2025-07-10,Marcos,patineta,1,120.0
2025-07-09,Lucía,monopatin,3,220.0
2025-07-09,Carlos,casco,1,85.0
2025-07-09,María,guantes,6,25.0
2025-07-08,Ana,rodilleras,2,45.0
2025-07-08,Pedro,skateboard,1,180.0
2025-07-07,Sofía,patineta,2,120.0
2025-07-07,Lucía,casco,1,85.0
2025-07-06,María,bicicleta,1,350.0
2025-07-05,Ana,patineta,1,120.0
2025-07-05,Pedro,rodilleras,4,45.0
2025-07-05,Sofía,monopatin,1,220.0
2025-07-04,Lucía,guantes,5,25.0
2025-07-03,María,skateboard,2,180.0
2025-07-03,Ana,patineta,3,120.0
